region;district;epidcode;growthrate
Alaotra Mangoro;Ambatondrazaka;;
Alaotra Mangoro;Amparafaravola;;
Alaotra Mangoro;Andilamena;;
Alaotra Mangoro;Anosibe-An'ala;;
Alaotra Mangoro;Moramanga;;
Amoron I Mania;Ambatofinandrahana;;
Amoron I Mania;Ambositra;;
Amoron I Mania;Fandriana;;
Amoron I Mania;Manandriana;;
Analamanga;Ambohidratrimo;;
Analamanga;Andramasina;;
Analamanga;Anjozorobe;;
Analamanga;Ankazobe;;
Analamanga;Antananarivo Atsimondrano;;
Analamanga;Antananarivo Avaradrano;;
Analamanga;Antananarivo Renivohitra;;
Analamanga;Manjakandriana;;
Analanjirofo;Fenerive Est;;
Analanjirofo;Mananara-Avaratra;;
Analanjirofo;Maroantsetra;;
Analanjirofo;Sainte Marie;;
Analanjirofo;Soanierana Ivongo;;
Analanjirofo;Vavatenina;;
Androy;Ambovombe-Androy;;
Androy;Bekily;;
Androy;Beloha;;
Androy;Tsihombe;;
Anosy;Amboasary-Atsimo;;
Anosy;Betroka;;
Anosy;Taolagnaro;;
Atsimo Andrefana;Ampanihy Ouest;;
Atsimo Andrefana;Ankazoabo;;
Atsimo Andrefana;Benenitra;;
Atsimo Andrefana;Beroroha;;
Atsimo Andrefana;Betioky Atsimo;;
Atsimo Andrefana;Morombe;;
Atsimo Andrefana;Sakaraha;;
Atsimo Andrefana;Toliary-I;;
Atsimo Andrefana;Toliary-II;;
Atsimo Atsinanana;Befotaka;;
Atsimo Atsinanana;Farafangana;;
Atsimo Atsinanana;Midongy-Atsimo;;
Atsimo Atsinanana;Vangaindrano;;
Atsimo Atsinanana;Vondrozo;;
Atsinanana;Antanambao Manampontsy;;
Atsinanana;Brickaville;;
Atsinanana;Mahanoro;;
Atsinanana;Marolambo;;
Atsinanana;Toamasina I;;
Atsinanana;Toamasina II;;
Atsinanana;Vatomandry;;
Betsiboka;Kandreho;;
Betsiboka;Maevatanana;;
Betsiboka;Tsaratanana;;
Boeny;Ambato Boeni;;
Boeny;Mahajanga I;;
Boeny;Mahajanga II;;
Boeny;Marovoay;;
Boeny;Mitsinjo;;
Boeny;Soalala;;
Bongolava;Fenoarivobe;;
Bongolava;Tsiroanomandidy;;
Diana;Ambanja;;
Diana;Ambilobe;;
Diana;Antsiranana I;;
Diana;Antsiranana II;;
Diana;Nosy-Be;;
Haute Matsiatra;Ambalavao;;
Haute Matsiatra;Ambohimahasoa;;
Haute Matsiatra;Fianarantsoa I;;
Haute Matsiatra;Ikalamavony;;
Haute Matsiatra;Isandra;;
Haute Matsiatra;Lalangina;;
Haute Matsiatra;Vohibato;;
Ihorombe;Iakora;;
Ihorombe;Ihosy;;
Ihorombe;Ivohibe;;
Itasy;Arivonimamo;;
Itasy;Miarinarivo;;
Itasy;Soavinandriana;;
Melaky;Ambatomainty;;
Melaky;Antsalova;;
Melaky;Besalampy;;
Melaky;Maintirano;;
Melaky;Morafenobe;;
Menabe;Belo Sur Tsiribihina;;
Menabe;Mahabo;;
Menabe;Manja;;
Menabe;Miandrivazo;;
Menabe;Morondava;;
Sava;Andapa;;
Sava;Antalaha;;
Sava;Sambava;;
Sava;Vohemar;;
Sofia;Analalava;;
Sofia;Antsohihy;;
Sofia;Bealanana;;
Sofia;Befandriana Nord;;
Sofia;Mampikony;;
Sofia;Mandritsara;;
Sofia;Port-Berge (Boriziny-Vaovao);;
Vakinankaratra;Ambatolampy;;
Vakinankaratra;Antanifotsy;;
Vakinankaratra;Antsirabe I;;
Vakinankaratra;Antsirabe II;;
Vakinankaratra;Betafo;;
Vakinankaratra;Faratsiho;;
Vakinankaratra;Mandoto;;
Vatovavy Fitovinany;Ifanadiana;;
Vatovavy Fitovinany;Ikongo;;
Vatovavy Fitovinany;Manakara Atsimo;;
Vatovavy Fitovinany;Mananjary;;
Vatovavy Fitovinany;Nosy-Varika;;
Vatovavy Fitovinany;Vohipeno;;
