region;district;epidcode;growthrate
Abia;Aba North;EZA;2.7
Abia;Aba South;ABA;2.7
Abia;Arochukwu;ACH;2.7
Abia;Bende;BND;2.7
Abia;Ikwuano;KWU;2.7
Abia;Isiala-Ngwa North;KPU;2.7
Abia;Isiala-Ngwa South;MBA;2.7
Abia;Isuikwuato;MBL;2.7
Abia;Obi Nwga;NGK;2.7
Abia;Ohafia;HAF;2.7
Abia;Osisioma Ngwa;SSM;2.7
Abia;Ugwunagbo;GWB;2.7
Abia;Ukwa East;KEK;2.7
Abia;Ukwa West;KKE;2.7
Abia;Umuahia North;UMA;2.7
Abia;Umuahia South;APR;2.7
Abia;Umu-Nneochi;UNC;2.7
Adamawa;Demsa;DSA;2.9
Adamawa;Fufore;FUR;2.9
Adamawa;Ganye;GAN;2.9
Adamawa;Girei;GRE;2.9
Adamawa;Gombi;GMB;2.9
Adamawa;Guyuk;GUY;2.9
Adamawa;Hong;HNG;2.9
Adamawa;Jada;JAD;2.9
Adamawa;Lamurde;LMR;2.9
Adamawa;Madagali;MDG;2.9
Adamawa;Maiha;MAH;2.9
Adamawa;Mayo-Belwa;MWA;2.9
Adamawa;Michika;MCH;2.9
Adamawa;Mubi North;MUB;2.9
Adamawa;Mubi South;GYL;2.9
Adamawa;Numan;NUM;2.9
Adamawa;Shelleng;SHG;2.9
Adamawa;Song;SNG;2.9
Adamawa;Toungo;TNG;2.9
Adamawa;Yola North;YLN;2.9
Adamawa;Yola South;YLA;2.9
Akwa-Ibom;Abak;ABK;3.4
Akwa-Ibom;Eastern Obolo;KRT;3.4
Akwa-Ibom;Eket;KET;3.4
Akwa-Ibom;Esit Eket;AUQ;3.4
Akwa-Ibom;Essien Udim;AFH;3.4
Akwa-Ibom;Etim Ekpo;AEE;3.4
Akwa-Ibom;Etinan;ETN;3.4
Akwa-Ibom;Ibeno;PNG;3.4
Akwa-Ibom;Ibesikpo Asutan;NGD;3.4
Akwa-Ibom;Ibiono Ibom;BMT;3.4
Akwa-Ibom;Ika;NYA;3.4
Akwa-Ibom;Ikono;KKN;3.4
Akwa-Ibom;Ikot Abasi;KTS;3.4
Akwa-Ibom;Ikot Ekpene;KTE;3.4
Akwa-Ibom;Ini;DRK;3.4
Akwa-Ibom;Itu;TTU;3.4
Akwa-Ibom;Mbo;ENW;3.4
Akwa-Ibom;Mkpat Enin;MKP;3.4
Akwa-Ibom;Nsit Atai;AED;3.4
Akwa-Ibom;Nsit Ibom;AFG;3.4
Akwa-Ibom;Nsit Ubium;KTD;3.4
Akwa-Ibom;Obot Akara;NTE;3.4
Akwa-Ibom;Okobo;KPD;3.4
Akwa-Ibom;Onna;ABT;3.4
Akwa-Ibom;Oron;RNN;3.4
Akwa-Ibom;Oruk Anam;KTM;3.4
Akwa-Ibom;Udung Uko;BYF;3.4
Akwa-Ibom;Ukanafun;KPK;3.4
Akwa-Ibom;Uruan;DUU;3.4
Akwa-Ibom;Urue Offong/Oruko;UFG;3.4
Akwa-Ibom;Uyo;DYY;3.4
Anambra;Aguata;AGU;2.8
Anambra;Anambra East;AAH;2.8
Anambra;Anambra West;NZM;2.8
Anambra;Anaocha;NEN;2.8
Anambra;Awka North;ACA;2.8
Anambra;Awka South;AWK;2.8
Anambra;Ayamelum;NKK;2.8
Anambra;Dunukofia;KPP;2.8
Anambra;Ekwusigo;ZBL;2.8
Anambra;Idemili North;GDD;2.8
Anambra;Idemili South;JJT;2.8
Anambra;Ihiala;HAL;2.8
Anambra;Njikoka;ABN;2.8
Anambra;Nnewi North;NNE;2.8
Anambra;Nnewi South;UKP;2.8
Anambra;Ogbaru;ATN;2.8
Anambra;Onitsha North;NSH;2.8
Anambra;Onitsha South;FGG;2.8
Anambra;Orumba North;AJL;2.8
Anambra;Orumba South;UMZ;2.8
Anambra;Oyi;HTE;2.8
Bauchi;Alkaleri;ALK;3.4
Bauchi;Bauchi;BAU;3.4
Bauchi;Bogoro;BGR;3.4
Bauchi;Dambam;DBM;3.4
Bauchi;Darazo;DRZ;3.4
Bauchi;Dass;DAS;3.4
Bauchi;Gamawa;GAM;3.4
Bauchi;Ganjuwa;GJW;3.4
Bauchi;Giade;GYD;3.4
Bauchi;Itas/Gadau;TSG;3.4
Bauchi;Jama'are;JMA;3.4
Bauchi;Katagum;KTG;3.4
Bauchi;Kirfi;KRF;3.4
Bauchi;Misau;MSA;3.4
Bauchi;Ningi;NNG;3.4
Bauchi;Shira;SHR;3.4
Bauchi;Tafawa-Balewa;TFB;3.4
Bauchi;Toro;TRR;3.4
Bauchi;Warji;WRJ;3.4
Bauchi;Zaki;ZAK;3.4
Bayelsa;Brass;BRS;2.9
Bayelsa;Ekeremor;KMR;2.9
Bayelsa;Kolokuma/Opokuma;KMK;2.9
Bayelsa;Nembe;NEM;2.9
Bayelsa;Ogbia;GBB;2.9
Bayelsa;Sagbama;SAG;2.9
Bayelsa;Southern Ijaw;SPR;2.9
Bayelsa;Yenagoa;YEN;2.9
Benue;Ado;GMU;3.0
Benue;Agatu;GTU;3.0
Benue;Apa;GKP;3.0
Benue;Buruku;BKB;3.0
Benue;Gboko;GBK;3.0
Benue;Guma;YGJ;3.0
Benue;Gwer East;ALD;3.0
Benue;Gwer West;NAK;3.0
Benue;Katsina-Ala;KAL;3.0
Benue;Konshisha;TSE;3.0
Benue;Kwande;WDP;3.0
Benue;Logo;GBG;3.0
Benue;Makurdi;MKD;3.0
Benue;Obi;BRT;3.0
Benue;Ogbadibo;BGT;3.0
Benue;Ohimini;DKP;3.0
Benue;Oju;JUX;3.0
Benue;Okpokwu;PKG;3.0
Benue;Otukpo;TKP;3.0
Benue;Tarka;WNN;3.0
Benue;Ukum;UKM;3.0
Benue;Ushongo;SEL;3.0
Benue;Vandeikya;VDY;3.0
Borno;Abadam;ADM;3.4
Borno;Askira/Uba;ASU;3.4
Borno;Bama;BAM;3.4
Borno;Bayo;BAY;3.4
Borno;Biu;BBU;3.4
Borno;Chibok;CBK;3.4
Borno;Damboa;DAM;3.4
Borno;Dikwa;DKW;3.4
Borno;Gubio;GUB;3.4
Borno;Guzamala;GBL;3.4
Borno;Gwoza;GZA;3.4
Borno;Hawul;HWL;3.4
Borno;Jere;JRE;3.4
Borno;Kaga;KGG;3.4
Borno;Kala/Balge;KBG;3.4
Borno;Konduga;KDG;3.4
Borno;Kukawa;KWA;3.4
Borno;Kwaya Kusar;KWY;3.4
Borno;Mafa;MAF;3.4
Borno;Magumeri;MGM;3.4
Borno;Maiduguri;MAG;3.4
Borno;Marte;MAR;3.4
Borno;Mobbar;MBR;3.4
Borno;Monguno;MNG;3.4
Borno;Ngala;NGL;3.4
Borno;Nganzai;NGZ;3.4
Borno;Shani;SHN;3.4
Cross River;Abi;TGD;2.9
Cross River;Akamkpa;KAM;2.9
Cross River;Akpabuyo;KTA;2.9
Cross River;Bakassi;BKS;2.9
Cross River;Bekwarra;ABE;2.9
Cross River;Biase;AKP;2.9
Cross River;Boki;BJE;2.9
Cross River;Calabar Municipal;CAL;2.9
Cross River;Calabar South;ANA;2.9
Cross River;Etung;EFE;2.9
Cross River;Ikom;KMM;2.9
Cross River;Obanliku;BNS;2.9
Cross River;Obubra;BRA;2.9
Cross River;Obudu;UDU;2.9
Cross River;Odukpani;DUK;2.9
Cross River;Ogoja;GGJ;2.9
Cross River;Yakurr;GEP;2.9
Cross River;Yala;CKK;2.9
Delta;Aniocha North;SLK;3.2
Delta;Aniocha South;GWK;3.2
