region;epidcode;growthrate
Abia;NIE-ABS;2.70
Adamawa;NIE-ADS;2.90
Akwa-Ibom;NIE-AKS;3.40
Anambra;NIE-ANS;2.80
Bauchi;NIE-BAS;3.40
Bayelsa;NIE-BYS;2.90
Benue;NIE-BNS;3.00
Borno;NIE-BOS;3.40
Cross River;NIE-CRS;2.90
Delta;NIE-DTS;3.20
Ebonyi;NIE-EBS;2.80
Edo;NIE-EDS;2.70
Ekiti;NIE-EKS;3.10
Enugu;NIE-ENS;3.00
FCT;NIE-FCT;9.30
Gombe;NIE-GMS;3.20
Imo;NIE-IMS;3.20
Jigawa;NIE-JIS;2.90
Kaduna;NIE-KDS;3.00
Kano;NIE-KNS;3.30
Katsina;NIE-KTS;3.00
Kebbi;NIE-KBS;3.10
Kogi;NIE-KGS;3.00
Kwara;NIE-KWS;3.00
Lagos;NIE-LAS;3.20
Nasarawa;NIE-NAS;3.00
Niger;NIE-NIS;3.40
Ogun;NIE-OGS;3.30
Ondo;NIE-ODS;3.00
Osun;NIE-OSS;3.20
Oyo;NIE-OYS;3.40
Plateau;NIE-PLS;2.70
Rivers;NIE-RVS;3.40
Sokoto;NIE-SOS;3.00
Taraba;NIE-TRS;2.90
Yobe;NIE-YBS;3.50
Zamfara;NIE-ZAS;3.20
