## All WHO countries
"defaultName","externalId","isoCode","unoCode","subcontinent","archived"
"Afghanistan",8501,"AFG",4,"Southern Asia","FALSE"
"Albania",8201,"ALB",8,"Southeast Europe","FALSE"
"Algeria",8304,"DZA",12,"Northwest Africa","FALSE"
"Andorra",8202,"AND",20,"Western Europe","FALSE"
"Angola",8305,"AGO",24,"Southwest Africa","FALSE"
"Antigua and Barbuda",8442,"ATG",28,"Central America","FALSE"
"Argentina",8401,"ARG",32,"South America","FALSE"
"Armenia",8560,"ARM",51,"Middle East","FALSE"
"Australia",8601,"AUS",36,"Australia (Subcontinent)","FALSE"
"Austria",8229,"AUT",40,"Central Europe","FALSE"
"Azerbaijan",8561,"AZE",31,"Middle East","FALSE"
"Bahamas",8402,"BHS",44,"Central America","FALSE"
"Bahrain",8502,"BHR",48,"Southwest Asia","FALSE"
"Bangladesh",8546,"BGD",50,"Southern Asia","FALSE"
"Barbados",8403,"BRB",52,"Central America","FALSE"
"Belarus",8266,"BLR",112,"Eastern Europe","FALSE"
"Belgium",8204,"BEL",56,"Western Europe","FALSE"
"Belize",8419,"BLZ",84,"Central America","FALSE"
"Benin",8309,"BEN",204,"Western Africa","FALSE"
"Bhutan",8503,"BTN",64,"Southern Asia","FALSE"
"Bolivia (Plurinational State of)",8405,"BOL",68,"South America","FALSE"
"Bosnia and Herzegovina",8252,"BIH",70,"Southeast Europe","FALSE"
"Botswana",8307,"BWA",72,"Southern Africa","FALSE"
"Brazil",8406,"BRA",76,"South America","FALSE"
"Brunei Darussalam",8504,"BRN",96,"Southern Asia","FALSE"
"Bulgaria",8205,"BGR",100,"Southeast Europe","FALSE"
"Burkina Faso",8337,"BFA",854,"Western Africa","FALSE"
"Burundi",8308,"BDI",108,"Eastern Africa","FALSE"
"Cabo Verde",8319,"CPV",132,"Western Africa","FALSE"
"Cambodia",8518,"KHM",116,"Southeast Asia","FALSE"
"Cameroon",8317,"CMR",120,"Central Africa","FALSE"
"Canada",8423,"CAN",124,"North America","FALSE"
"Central African Republic",8360,"CAF",140,"Central Africa","FALSE"
"Chad",8356,"TCD",148,"Central Africa","FALSE"
"Chile",8407,"CHL",152,"South America","FALSE"
"China",8508,"CHN",156,"Eastern Asia","FALSE"
"Colombia",8424,"COL",170,"South America","FALSE"
"Comoros",8321,"COM",174,"Eastern Africa","FALSE"
"Congo (Brazzaville)",8322,"COG",178,"Central Africa","FALSE"
"Cook Islands",8682,"COK",184,"Oceania","FALSE"
"Costa Rica",8408,"CRI",188,"Central America","FALSE"
"Croatia",8250,"HRV",191,"Southern Europe","FALSE"
"Cuba",8425,"CUB",192,"Central America","FALSE"
"Cyprus",8242,"CYP",196,"Southeast Europe","FALSE"
"Czech Republic",8244,"CZE",203,"Central Europe","FALSE"
"Democratic People's Republic of Korea",8530,"PRK",408,"Eastern Asia","FALSE"
"Democratic Republic of the Congo",8323,"COD",180,"Central Africa","FALSE"
"Denmark",8206,"DNK",208,"Northern Europe","FALSE"
"Djibouti",8303,"DJI",262,"Eastern Africa","FALSE"
"Dominica",8440,"DMA",212,"Central America","FALSE"
"Dominican Republic",8409,"DOM",214,"Central America","FALSE"
"Ecuador",8410,"ECU",218,"South America","FALSE"
"Egypt",8359,"EGY",818,"Northeast Africa","FALSE"
"El Salvador",8411,"SLV",222,"Central America","FALSE"
"Equatorial Guinea",8301,"GNQ",226,"Central Africa","FALSE"
"Eritrea",8362,"ERI",232,"Northeast Africa","FALSE"
"Estonia",8260,"EST",233,"Northern Europe","FALSE"
"Eswatini",8352,"SWZ",748,"Southern Africa","FALSE"
"Ethiopia",8302,"ETH",231,"Eastern Africa","FALSE"
"Fiji",8602,"FJI",242,"Oceania","FALSE"
"Finland",8211,"FIN",246,"Northern Europe","FALSE"
"France",8212,"FRA",250,"Western Europe","FALSE"
"Gabon",8311,"GAB",266,"Central Africa","FALSE"
"Gambia",8312,"GMB",270,"Western Africa","FALSE"
"Georgia",8562,"GEO",268,"Middle East","FALSE"
"Germany",8207,"DEU",276,"Central Europe","FALSE"
"Ghana",8313,"GHA",288,"Western Africa","FALSE"
"Greece",8214,"GRC",300,"Southeast Europe","FALSE"
"Greenland",8413,"GRL",304,"Northern Europe","FALSE"
"Grenada",8441,"GRD",308,"Central America","FALSE"
"Guatemala",8415,"GTM",320,"Central America","FALSE"
"Guinea",8315,"GIN",324,"Western Africa","FALSE"
"Guinea-Bissau",8314,"GNB",624,"Western Africa","FALSE"
"Guyana",8417,"GUY",328,"South America","FALSE"
"Haiti",8418,"HTI",332,"Central America","FALSE"
"Honduras",8420,"HND",340,"Central America","FALSE"
"Hungary",8240,"HUN",348,"Central Europe","FALSE"
"Iceland",8217,"ISL",352,"Northern Europe","FALSE"
"India",8510,"IND",356,"Middle East","FALSE"
"Indonesia",8511,"IDN",360,"Southeast Asia","FALSE"
"Iran (Islamic Republic of)",8513,"IRN",364,"Middle East","FALSE"
"Iraq",8512,"IRQ",368,"Middle East","FALSE"
"Ireland",8216,"IRL",372,"Northern Europe","FALSE"
"Israel",8514,"ISR",376,"Middle East","FALSE"
"Italy",8218,"ITA",380,"Southern Europe","FALSE"
"Jamaica",8421,"JAM",388,"Central America","FALSE"
"Japan",8515,"JPN",392,"Eastern Asia","FALSE"
"Jordan",8517,"JOR",400,"Middle East","FALSE"
"Kazakhstan",8563,"KAZ",398,"Central Asia","FALSE"
"Kenya",8320,"KEN",404,"Eastern Africa","FALSE"
"Kiribati",8616,"KIR",296,"Oceania","FALSE"
"Kuwait",8521,"KWT",414,"Middle East","FALSE"
"Kyrgyzstan",8564,"KGZ",417,"Central Asia","FALSE"
"Lao People's Democratic Republic",8522,"LAO",418,"Southeast Asia","FALSE"
"Latvia",8261,"LVA",428,"Northern Europe","FALSE"
"Lebanon",8523,"LBN",422,"Middle East","FALSE"
"Lesotho",8324,"LSO",426,"Southern Africa","FALSE"
"Liberia",8325,"LBR",430,"Western Africa","FALSE"
"Libya",8326,"LBY",434,"Northern Africa","FALSE"
"Liechtenstein",8222,"LIE",438,"Central Europe","FALSE"
"Lithuania",8262,"LTU",440,"Northern Europe","FALSE"
"Luxembourg",8223,"LUX",442,"Western Europe","FALSE"
"Madagascar",8327,"MDG",450,"Southeast Africa","FALSE"
"Malawi",8329,"MWI",454,"Southeast Africa","FALSE"
"Malaysia",8525,"MYS",458,"Southeast Asia","FALSE"
"Maldives",8526,"MDV",462,"Southern Asia","FALSE"
"Mali",8330,"MLI",466,"Western Africa","FALSE"
"Malta",8224,"MLT",470,"Southern Europe","FALSE"
"Marshall Islands",8617,"MHL",584,"Oceania","FALSE"
"Mauritania",8332,"MRT",478,"Northwest Africa","FALSE"
"Mauritius",8333,"MUS",480,"Southeast Africa","FALSE"
"Mexico",8427,"MEX",484,"North America","FALSE"
"Micronesia (Federated States of)",8618,"FSM",583,"Oceania","FALSE"
"Monaco",8226,"MCO",492,"Southern Europe","FALSE"
"Mongolia",8528,"MNG",496,"Central Asia","FALSE"
"Montenegro",8254,"MNE",499,"Southeast Europe","FALSE"
"Morocco",8331,"MAR",504,"Northwest Africa","FALSE"
"Mozambique",8334,"MOZ",508,"Southeast Africa","FALSE"
"Myanmar",8505,"MMR",104,"Southeast Asia","FALSE"
"Namibia",8351,"NAM",516,"Southern Africa","FALSE"
"Nauru",8604,"NRU",520,"Oceania","FALSE"
"Nepal",8529,"NPL",524,"Southern Asia","FALSE"
"Netherlands",8227,"NLD",528,"Western Europe","FALSE"
"New Caledonia",8606,"NCL",540,"Western Europe","FALSE"
"New Zealand",8607,"NZL",554,"Oceania","FALSE"
"Nicaragua",8429,"NIC",558,"Central America","FALSE"
"Niger",8335,"NER",562,"Western Africa","FALSE"
"Nigeria",8336,"NGA",566,"Western Africa","FALSE"
"Niue",8683,"NIU",570,"Oceania","FALSE"
"North Macedonia",8255,"MKD",807,"Southeast Europe","FALSE"
"Norway",8228,"NOR",578,"Northern Europe","FALSE"
"Oman",8527,"OMN",512,"Southwest Asia","FALSE"
"Pakistan",8533,"PAK",586,"Southern Asia","FALSE"
"Palau",8619,"PLW",585,"Oceania","FALSE"
"Panama",8430,"PAN",591,"Central America","FALSE"
"Papua New Guinea",8608,"PNG",598,"Oceania","FALSE"
