## All subcontinents
"defaultName","externalId","continent","archived"
"Northern Africa","41000009","Africa","FALSE"
"Northeast Africa","41000012","Africa","FALSE"
"Northwest Africa","41000014","Africa","FALSE"
"Eastern Africa","41000015","Africa","FALSE"
"Southern Africa","41000019","Africa","FALSE"
"Southeast Africa","41000023","Africa","FALSE"
"Southwest Africa","41000026","Africa","FALSE"
"Western Africa","41000029","Africa","FALSE"
"Central Africa","41000031","Africa","FALSE"
"Central America","41000007","America","FALSE"
"North America","41000010","America","FALSE"
"South America","41000020","America","FALSE"
"Eastern Asia","41000016","Asia","FALSE"
"Southern Asia","41000021","Asia","FALSE"
"Southeast Asia","41000024","Asia","FALSE"
"Southwest Asia","41000027","Asia","FALSE"
"Middle East","41000028","Asia","FALSE"
"Central Asia","41000032","Asia","FALSE"
"Australia (Subcontinent)","41000006","Australia (Continent)","FALSE"
"Oceania","41000018","Australia (Continent)","FALSE"
"Central Europe","41000008","Europe","FALSE"
"Northern Europe","41000011","Europe","FALSE"
"Northeast Europe","41000013","Europe","FALSE"
"Eastern Europe","41000017","Europe","FALSE"
"Southern Europe","41000022","Europe","FALSE"
"Southeast Europe","41000025","Europe","FALSE"
"Western Europe","41000030","Europe","FALSE"
